ID,Place (x),Knowledge (y),Action (z),K5Number,K5Name,K5Distance
821,-1.42443,-0.49088,0.32544,1,Ecospirituality,0.64384
834,-0.80328,-0.99338,-0.31846,1,Ecospirituality,0.75416
857,-0.76815,-0.31004,-0.20996,1,Ecospirituality,0.86816
865,-0.32651,-0.98614,-0.37556,1,Ecospirituality,0.99964
866,-0.54031,-0.28343,0.44122,1,Ecospirituality,0.71778
910,-1.80178,-0.47835,1.30955,1,Ecospirituality,1.31492
922,-0.31970,-1.23627,0.43730,1,Ecospirituality,0.69967
933,-0.63362,-0.98225,-0.40024,1,Ecospirituality,0.87420
935,-1.04164,-0.60300,0.04744,1,Ecospirituality,0.48166
943,-1.01057,-2.13322,-0.69423,1,Ecospirituality,1.67170
945,-0.98224,-0.97745,0.59636,1,Ecospirituality,0.20707
953,-0.86489,-1.69497,1.20038,1,Ecospirituality,1.12547
955,-0.46520,-0.75949,1.44623,1,Ecospirituality,1.13412
969,-0.59087,-0.30759,1.13203,1,Ecospirituality,0.97942
971,-1.00001,-0.79138,0.52084,1,Ecospirituality,0.15921
994,-0.95779,-0.90277,-0.62590,1,Ecospirituality,1.04458
1027,-0.41596,0.01713,0.24460,1,Ecospirituality,1.05361
1031,-0.38841,-1.49414,0.16924,1,Ecospirituality,0.84765
1041,-0.56022,-0.52655,1.20664,1,Ecospirituality,0.94158
1073,-1.45680,-1.67453,2.44221,1,Ecospirituality,2.23535
1114,-0.98621,-0.96670,0.35198,1,Ecospirituality,0.11887
1154,-0.27360,-1.10014,-0.25021,1,Ecospirituality,0.95793
1169,-1.27134,-0.30528,-0.45304,1,Ecospirituality,1.10348
1197,-1.00451,-0.68384,-0.62311,1,Ecospirituality,1.06395
1202,-0.63009,-0.00830,-0.05114,1,Ecospirituality,1.04023
1211,-0.72182,-1.36403,1.13874,1,Ecospirituality,0.88747
1219,-0.31783,-1.19588,-0.43426,1,Ecospirituality,1.09156
1227,-0.29862,-0.60342,1.48275,1,Ecospirituality,1.26828
1254,-1.01294,-0.99405,0.42946,1,Ecospirituality,0.13728
1255,-0.96673,-2.09044,-1.03807,1,Ecospirituality,1.88881
1265,-0.20587,-0.71519,-0.09557,1,Ecospirituality,0.90157
1270,-1.56938,-0.81033,-0.00825,1,Ecospirituality,0.77547
1277,-0.04853,-0.49449,0.34594,1,Ecospirituality,0.96473
1279,-1.96708,-0.12153,-0.63806,1,Ecospirituality,1.66924
1334,-0.37583,-1.60581,-0.00225,1,Ecospirituality,0.99739
1342,-0.62292,-1.85001,-0.49964,1,Ecospirituality,1.36364
1345,0.20170,-2.04842,-0.01605,1,Ecospirituality,1.67546
1351,-0.46126,-0.68689,0.19039,1,Ecospirituality,0.55556
1368,-0.29638,-0.21039,1.17720,1,Ecospirituality,1.19683
1384,-0.18398,-2.44065,-0.17635,1,Ecospirituality,1.82064
1390,-1.02695,-0.01479,0.28213,1,Ecospirituality,0.88959
1391,-0.92995,-0.40626,-0.39789,1,Ecospirituality,0.94767
1405,-1.15612,-1.08235,-0.45701,1,Ecospirituality,0.92540
1406,-1.04179,-1.26708,2.50197,1,Ecospirituality,2.12118
1415,-1.79089,-0.10443,-0.39901,1,Ecospirituality,1.42456
1419,-0.56959,-1.04280,2.40646,1,Ecospirituality,2.02601
1421,-1.10440,-0.40129,1.62660,1,Ecospirituality,1.31499
1427,-1.69312,-0.15572,-0.79630,1,Ecospirituality,1.61221
1435,-0.08673,-0.37170,0.37524,1,Ecospirituality,0.98664
1436,-0.53065,-1.66978,1.11751,1,Ecospirituality,1.12102
1439,-0.86951,-2.44686,0.21320,1,Ecospirituality,1.57315
1455,-0.63656,-0.85711,-0.37732,1,Ecospirituality,0.84713
1472,-0.85210,-0.52551,1.47301,1,Ecospirituality,1.11796
1489,-0.50894,-0.32820,0.88733,1,Ecospirituality,0.84138
1495,-0.58319,-1.30231,0.08399,1,Ecospirituality,0.63317
1531,-1.11169,-0.57574,-0.48839,1,Ecospirituality,0.97657
1539,-0.00297,-2.75587,-1.09678,1,Ecospirituality,2.57601
1545,-0.57558,-0.29116,-0.13310,1,Ecospirituality,0.88501
1554,-0.51580,-0.43898,0.77457,1,Ecospirituality,0.70523
1555,-2.26406,-0.62715,-0.99567,1,Ecospirituality,1.96378
1559,-0.84620,-0.91786,0.07914,1,Ecospirituality,0.34958
1563,-1.46605,-0.12875,-0.20056,1,Ecospirituality,1.11836
1572,-1.15880,-0.20681,0.29375,1,Ecospirituality,0.73057
1588,-1.58622,-0.47134,0.46708,1,Ecospirituality,0.78205
1597,-0.82014,-0.25027,0.25722,1,Ecospirituality,0.66636
1624,-1.63586,-1.48049,-0.08302,1,Ecospirituality,1.05140
1648,-1.34941,-2.85394,-1.44972,1,Ecospirituality,2.74447
1654,-1.69702,-0.10377,0.74953,1,Ecospirituality,1.14850
1656,-1.15637,-1.35502,-0.22588,1,Ecospirituality,0.82802
1661,-2.16605,-0.39787,-0.92836,1,Ecospirituality,1.89480
1671,-1.02730,-1.73019,-0.06389,1,Ecospirituality,0.97548
1675,-0.55311,-0.42320,0.01830,1,Ecospirituality,0.71785
1678,-1.48603,-0.42198,-0.18706,1,Ecospirituality,0.94700
1682,-1.25855,-0.61643,-0.80196,1,Ecospirituality,1.29335
1687,-0.93047,-0.14224,0.29054,1,Ecospirituality,0.75674
1696,-1.68103,-1.88431,0.69618,1,Ecospirituality,1.28034
1707,-0.22129,0.01230,0.25374,1,Ecospirituality,1.15537
1709,0.02316,-0.36434,0.45156,1,Ecospirituality,1.08490
1712,-0.23340,-1.90473,1.08323,1,Ecospirituality,1.39857
1721,-2.10728,-0.01376,-0.26860,1,Ecospirituality,1.62197
1744,-1.96141,-1.20125,0.55067,1,Ecospirituality,1.08951
1754,-0.66779,-0.62721,0.63635,1,Ecospirituality,0.42727
1764,-0.81085,-0.20878,-0.04987,1,Ecospirituality,0.83299
1783,-0.55370,-0.64647,-0.05657,1,Ecospirituality,0.65006
1784,-0.94072,-0.39197,-0.37014,1,Ecospirituality,0.93152
1791,-0.17594,-0.04725,0.75469,1,Ecospirituality,1.17620
1808,-2.13198,-0.36458,2.25941,1,Ecospirituality,2.26233
1821,0.10212,-1.62792,0.48840,1,Ecospirituality,1.26881
1840,-0.17242,-0.93584,0.23494,1,Ecospirituality,0.77730
1849,-0.36141,-0.21712,0.47385,1,Ecospirituality,0.87892
1855,-1.66607,-0.69848,0.35776,1,Ecospirituality,0.76605
1866,-0.32575,-1.13482,0.06576,1,Ecospirituality,0.73871
1876,-1.17690,0.04297,-0.09790,1,Ecospirituality,1.09363
1878,-2.12959,-0.03006,1.66735,1,Ecospirituality,1.93514
1883,-1.20883,-0.07830,1.27359,1,Ecospirituality,1.21141
1885,-0.24860,-0.20161,0.36633,1,Ecospirituality,0.96608
1888,-0.81745,-0.36733,-0.31298,1,Ecospirituality,0.90421
1890,-0.39622,-0.19615,0.28534,1,Ecospirituality,0.88175
1896,-0.95229,-1.91591,0.10851,1,Ecospirituality,1.07369
1903,-0.82952,-1.63180,-0.55765,1,Ecospirituality,1.23064
1912,-1.46920,-0.86588,-0.50028,1,Ecospirituality,1.06708
1914,-1.65626,-1.12811,-0.82977,1,Ecospirituality,1.46546
1916,-0.49903,-2.26446,0.05635,1,Ecospirituality,1.48584
1918,-0.62734,-1.73968,0.48218,1,Ecospirituality,0.90477
1923,-2.24575,-0.52638,-0.00138,1,Ecospirituality,1.43099
1937,-0.69057,-0.16092,0.11073,1,Ecospirituality,0.82397
1939,-0.27519,-0.18384,0.10798,1,Ecospirituality,1.00806
1944,-2.22859,-0.72546,1.75460,1,Ecospirituality,1.87312
1956,-1.12952,-0.75239,1.44439,1,Ecospirituality,1.05498
1958,-0.41972,-0.50559,1.08505,1,Ecospirituality,0.92076
1980,-0.58976,-0.96160,1.00835,1,Ecospirituality,0.68342
1983,-1.65184,-0.92986,1.44794,1,Ecospirituality,1.26043
1986,-0.84731,-0.40141,0.42636,1,Ecospirituality,0.49317
2003,-1.08825,-1.20079,0.69228,1,Ecospirituality,0.44624
2008,-0.47834,-0.29673,1.60974,1,Ecospirituality,1.40373
2010,-0.60717,-0.82674,0.10661,1,Ecospirituality,0.45017
2013,-1.58397,-1.05324,-1.10139,1,Ecospirituality,1.66392
2016,-0.95927,-0.05308,0.11879,1,Ecospirituality,0.88769
2028,-0.44014,-1.53492,0.79489,1,Ecospirituality,0.89256
2032,0.02729,-2.34755,0.46222,1,Ecospirituality,1.74390
2036,-0.74139,-0.10170,0.29667,1,Ecospirituality,0.81697
2041,-1.05380,-0.81968,0.06997,1,Ecospirituality,0.37701
2074,-1.96027,-2.17631,-0.41447,1,Ecospirituality,1.84976
2081,-0.98092,-0.10018,-0.26054,1,Ecospirituality,1.04136
2082,-0.62571,-0.01817,0.37667,1,Ecospirituality,0.92138
2117,-1.30913,-0.00244,1.06587,1,Ecospirituality,1.16216
2122,-1.97387,-0.18603,0.06014,1,Ecospirituality,1.31090
2125,-1.22096,-1.93574,-0.79784,1,Ecospirituality,1.63181
2131,-1.95130,-0.58614,-0.32061,1,Ecospirituality,1.29903
2140,-1.71085,-0.50029,-0.31018,1,Ecospirituality,1.13856
2142,-0.09581,-0.92772,1.02752,1,Ecospirituality,1.03088
2170,-0.17448,-1.56068,0.61134,1,Ecospirituality,1.02709
2181,-1.65068,-0.11818,0.77619,1,Ecospirituality,1.11614
2185,-1.41574,-1.03613,1.60687,1,Ecospirituality,1.29406
2204,-2.16166,-0.59747,0.07840,1,Ecospirituality,1.31375
2230,-0.63825,-0.28661,0.44091,1,Ecospirituality,0.66734
2255,-2.42957,-0.53827,-0.48272,1,Ecospirituality,1.78708
2269,-0.66139,-0.83884,-0.17835,1,Ecospirituality,0.65451
2271,-2.57731,-0.13293,2.10265,1,Ecospirituality,2.47664
2279,-1.04278,-0.46164,0.79314,1,Ecospirituality,0.57975
2296,-1.01848,-0.49422,-0.12095,1,Ecospirituality,0.67398
2297,-0.71651,-0.86202,-0.19004,1,Ecospirituality,0.64385
2299,-0.42487,-0.66573,0.93229,1,Ecospirituality,0.75187
2301,-0.59836,-2.47905,0.34957,1,Ecospirituality,1.62580
2307,-1.27396,-1.11097,0.58711,1,Ecospirituality,0.44616
2320,-1.28540,-0.45959,-0.59724,1,Ecospirituality,1.15910
2322,-0.68303,-1.79938,-0.29236,1,Ecospirituality,1.18081
2330,-1.47758,0.04300,-0.21263,1,Ecospirituality,1.25249
2334,0.11439,-2.06126,-0.26480,1,Ecospirituality,1.71045
