ID,Place (x),Knowledge (y),Action (z),K5Number,K5Name,K5Distance
1022,-1.00557,-1.31634,-1.43570,2,Small is Beautiful,1.62010
1023,-0.35467,1.48769,-1.06857,2,Small is Beautiful,1.69401
1033,0.56825,-1.74396,-1.12613,2,Small is Beautiful,1.69936
1037,-0.75255,0.34466,-0.67375,2,Small is Beautiful,0.92897
1045,-0.23610,0.13320,-0.08826,2,Small is Beautiful,0.89053
1055,0.39691,-0.11086,0.07956,2,Small is Beautiful,1.05718
1062,-0.12969,-0.42038,-1.45076,2,Small is Beautiful,0.62423
1063,0.08898,0.15934,-0.95236,2,Small is Beautiful,0.33877
1068,-0.02985,0.00754,-0.53617,2,Small is Beautiful,0.39865
1071,-0.44172,-0.86226,-1.06158,2,Small is Beautiful,0.84194
1076,0.90015,0.26329,-1.12342,2,Small is Beautiful,1.02584
1082,0.32025,-0.09022,-1.16234,2,Small is Beautiful,0.42658
1088,0.48344,-0.72559,-0.63013,2,Small is Beautiful,0.79315
1089,0.38956,-1.34540,-0.26160,2,Small is Beautiful,1.40079
1091,-0.72467,-0.10564,-0.28561,2,Small is Beautiful,0.94504
1095,-0.32148,-1.56000,-1.38365,2,Small is Beautiful,1.51455
1096,0.80780,-0.51390,-0.65985,2,Small is Beautiful,0.91791
1097,-0.26918,-0.79298,-0.35262,2,Small is Beautiful,0.87440
1099,0.13154,0.44971,-0.55218,2,Small is Beautiful,0.71453
1100,0.09281,0.37515,-0.44529,2,Small is Beautiful,0.70778
1103,0.60384,0.01930,-0.59181,2,Small is Beautiful,0.70509
1107,0.79550,0.05854,-1.00887,2,Small is Beautiful,0.83844
1110,-0.45324,-0.18861,-0.19601,2,Small is Beautiful,0.83172
1113,0.24377,0.89552,-1.26595,2,Small is Beautiful,1.14678
1117,-1.41573,-0.30827,-1.30985,2,Small is Beautiful,1.47656
1124,0.43677,-0.33346,-1.43673,2,Small is Beautiful,0.71928
1128,-0.95441,-0.40469,-0.52164,2,Small is Beautiful,1.04868
1130,-0.08610,-0.68397,-1.09059,2,Small is Beautiful,0.56347
1132,-0.26507,-0.17373,-1.18419,2,Small is Beautiful,0.38738
1137,1.19957,-0.08279,-1.64825,2,Small is Beautiful,1.42271
1147,-0.91491,0.56015,-0.90573,2,Small is Beautiful,1.16045
1150,0.16350,0.43221,-0.72823,2,Small is Beautiful,0.63953
1157,-1.05491,-1.22055,-1.26032,2,Small is Beautiful,1.53471
1158,-0.75238,-0.77941,-1.28998,2,Small is Beautiful,1.04614
1162,0.17850,0.23914,-0.80969,2,Small is Beautiful,0.44911
1172,0.29271,-0.02690,-1.30193,2,Small is Beautiful,0.52099
1177,0.67187,-0.08490,-0.43783,2,Small is Beautiful,0.82193
1180,-0.39251,-0.82626,-1.00398,2,Small is Beautiful,0.77686
1181,-0.12876,-0.33098,-0.85744,2,Small is Beautiful,0.21333
1182,0.78488,0.06080,-0.28668,2,Small is Beautiful,1.02298
1186,-0.79537,-0.32488,-1.06546,2,Small is Beautiful,0.82383
1187,0.20846,0.32309,-0.57354,2,Small is Beautiful,0.62025
1188,-0.18746,-0.06680,-0.26214,2,Small is Beautiful,0.66664
1189,0.09115,-0.05284,-0.94920,2,Small is Beautiful,0.15456
1191,0.15797,1.09628,-1.13179,2,Small is Beautiful,1.28960
1194,-0.11096,-0.11008,-0.70364,2,Small is Beautiful,0.22558
1196,0.05637,-0.82817,-0.30303,2,Small is Beautiful,0.89511
1198,-0.04666,-0.44283,-0.02401,2,Small is Beautiful,0.91787
1199,0.80540,-0.08105,-1.93505,2,Small is Beautiful,1.32018
1201,-0.82976,0.08291,-1.10299,2,Small is Beautiful,0.88372
1203,-1.59000,0.23585,-0.91286,2,Small is Beautiful,1.63320
1204,0.04165,-0.22285,-0.87551,2,Small is Beautiful,0.08073
1222,-0.51298,0.28640,-1.18708,2,Small is Beautiful,0.73607
1229,-0.07641,0.13623,-0.29646,2,Small is Beautiful,0.67346
1234,0.00979,0.40678,-1.10293,2,Small is Beautiful,0.60437
1235,0.10215,-0.31192,-1.83392,2,Small is Beautiful,0.95550
1237,0.32770,-0.54234,-1.59275,2,Small is Beautiful,0.86094
1238,0.73689,0.05784,-2.05555,2,Small is Beautiful,1.39382
1239,-0.64526,0.05531,-0.45396,2,Small is Beautiful,0.80722
1240,-0.73590,-0.79122,-1.30632,2,Small is Beautiful,1.04783
1243,-0.05872,0.43410,-1.32570,2,Small is Beautiful,0.73563
1244,-0.20066,-1.03598,-1.11495,2,Small is Beautiful,0.92255
1245,0.98598,-0.05098,-1.04744,2,Small is Beautiful,1.00925
1246,0.56148,-0.06179,-0.81236,2,Small is Beautiful,0.58207
1247,0.38784,-0.35179,-0.75827,2,Small is Beautiful,0.45880
1248,-0.53469,-0.14618,-1.44342,2,Small is Beautiful,0.76086
1250,-0.44793,-0.65978,-1.16643,2,Small is Beautiful,0.71900
1252,-1.71961,-0.37266,-1.69987,2,Small is Beautiful,1.90447
1253,-0.40285,-0.30158,-1.43856,2,Small is Beautiful,0.68635
1256,-0.79619,-0.73554,-0.60577,2,Small is Beautiful,1.01944
1257,-0.70833,-0.44936,-1.13746,2,Small is Beautiful,0.79662
1258,0.33812,-1.36076,-0.59236,2,Small is Beautiful,1.28457
1259,0.56230,-1.27049,-1.20641,2,Small is Beautiful,1.28437
1261,0.09602,-0.07335,-0.36616,2,Small is Beautiful,0.54721
1262,0.98114,0.32065,-1.37996,2,Small is Beautiful,1.19993
1264,2.18498,-0.98145,-1.56144,2,Small is Beautiful,2.43202
1266,0.56762,-1.01614,-0.56498,2,Small is Beautiful,1.08166
1268,0.42001,0.63865,-0.79148,2,Small is Beautiful,0.91212
1272,0.61843,-0.35080,-1.54159,2,Small is Beautiful,0.91745
1273,-0.23010,-0.00420,-0.48878,2,Small is Beautiful,0.49115
1274,-0.81688,0.85449,-1.33186,2,Small is Beautiful,1.37061
1275,0.36996,-0.75126,-1.52750,2,Small is Beautiful,0.94212
1280,-0.58030,0.14350,-1.24429,2,Small is Beautiful,0.73732
1281,-0.40942,-0.71784,-0.77121,2,Small is Beautiful,0.69899
1282,-1.02664,-0.05718,-0.45318,2,Small is Beautiful,1.11779
1283,0.58888,1.27710,-2.08270,2,Small is Beautiful,1.95674
1294,-0.90943,-1.11050,-0.97115,2,Small is Beautiful,1.31280
1297,0.32657,-0.22520,-0.55691,2,Small is Beautiful,0.47959
1303,0.18181,-0.08369,-0.62019,2,Small is Beautiful,0.34294
1324,-0.27708,-0.60651,-0.37499,2,Small is Beautiful,0.73761
1325,0.22236,-0.09250,0.05654,2,Small is Beautiful,0.98248
1328,-0.02724,0.05793,-0.66456,2,Small is Beautiful,0.31979
1331,0.91562,-0.64515,-0.67062,2,Small is Beautiful,1.06513
1357,-0.89513,0.39762,-0.47168,2,Small is Beautiful,1.13293
1361,0.09791,-0.53186,-0.66472,2,Small is Beautiful,0.44947
1371,0.26775,0.09127,-0.05755,2,Small is Beautiful,0.91790
1374,-0.58266,0.15073,-0.10051,2,Small is Beautiful,1.03137
1387,-0.18854,1.18531,-0.88933,2,Small is Beautiful,1.35873
1389,0.47141,-0.94414,-0.61465,2,Small is Beautiful,0.95941
1400,-0.10156,0.66997,-0.45641,2,Small is Beautiful,0.94528
1407,0.39726,0.03438,-0.03172,2,Small is Beautiful,0.97402
1409,-0.38167,0.09192,-0.02621,2,Small is Beautiful,0.98124
1417,-0.05013,-0.29325,-1.38212,2,Small is Beautiful,0.50513
1432,-0.39737,-0.03437,-1.40761,2,Small is Beautiful,0.65610
1434,0.84935,-0.62651,-0.85145,2,Small is Beautiful,0.97470
1441,0.91672,-0.13981,-0.60003,2,Small is Beautiful,0.96930
1445,0.06944,0.08466,0.13013,2,Small is Beautiful,1.05841
1446,0.01843,0.53802,-0.47147,2,Small is Beautiful,0.81857
1447,-0.07962,0.22842,-1.14215,2,Small is Beautiful,0.46630
1448,-0.39012,-0.53764,-1.25215,2,Small is Beautiful,0.64489
1449,0.11699,0.81166,-0.97559,2,Small is Beautiful,0.98363
1452,0.99489,-0.12313,-0.58964,2,Small is Beautiful,1.04744
1460,-1.03668,-1.01623,-1.43342,2,Small is Beautiful,1.44294
1476,-0.35633,-0.42820,-0.92615,2,Small is Beautiful,0.44167
1478,0.28852,0.25589,-0.53602,2,Small is Beautiful,0.62492
1480,0.61923,-0.99621,-2.14971,2,Small is Beautiful,1.63047
1482,-0.35697,-0.10949,-1.82587,2,Small is Beautiful,0.99473
1490,0.05375,0.03189,0.21150,2,Small is Beautiful,1.12636
1492,0.08252,0.61094,-0.42120,2,Small is Beautiful,0.91095
1501,0.20898,-0.00802,-0.53945,2,Small is Beautiful,0.44400
1513,0.17412,0.43714,-0.15718,2,Small is Beautiful,0.96799
1519,0.16784,-0.99050,-0.34790,2,Small is Beautiful,1.00956
1524,-0.62157,-0.44984,-0.97160,2,Small is Beautiful,0.68420
1525,0.28980,-0.07413,-0.41101,2,Small is Beautiful,0.57512
1526,0.50887,-0.36552,-0.42932,2,Small is Beautiful,0.72463
1527,-0.42071,-0.41607,-1.06038,2,Small is Beautiful,0.51377
1528,0.47162,-0.22304,-0.96614,2,Small is Beautiful,0.48646
1532,-0.20441,0.42392,-1.21036,2,Small is Beautiful,0.69288
1534,-0.54785,0.44275,-0.60863,2,Small is Beautiful,0.86098
1537,-0.54970,0.00701,-1.26692,2,Small is Beautiful,0.67909
1538,-0.20107,0.00524,-1.51302,2,Small is Beautiful,0.66764
1540,1.14285,-0.60508,-0.70687,2,Small is Beautiful,1.24605
1541,-0.08735,-0.38314,-0.50076,2,Small is Beautiful,0.46115
1542,-0.57294,0.15122,-0.94266,2,Small is Beautiful,0.64904
1543,0.40397,0.55296,-0.47238,2,Small is Beautiful,0.92615
1544,0.07416,-1.74247,-0.98308,2,Small is Beautiful,1.58578
1548,-0.71600,0.74289,-1.14827,2,Small is Beautiful,1.17678
1550,0.06646,0.55820,-0.55249,2,Small is Beautiful,0.80062
1551,-1.00306,0.00188,-0.44400,2,Small is Beautiful,1.10718
1552,0.31631,0.01429,-0.68559,2,Small is Beautiful,0.42316
1553,0.48476,-0.22708,-1.58849,2,Small is Beautiful,0.85074
1556,0.17633,-0.48803,-0.80689,2,Small is Beautiful,0.38489
1557,0.08480,-0.73303,-1.03866,2,Small is Beautiful,0.59627
1562,0.19580,-0.25693,-0.86891,2,Small is Beautiful,0.22498
1564,-0.10479,0.01401,-0.57299,2,Small is Beautiful,0.38101
1565,-0.60249,-1.60290,-1.11144,2,Small is Beautiful,1.57512
1566,-0.46504,-0.31803,-0.21031,2,Small is Beautiful,0.84054
1569,0.53950,-0.03535,-1.14678,2,Small is Beautiful,0.61302
1573,-0.36068,-0.35912,-1.14241,2,Small is Beautiful,0.47493
1574,-0.42533,0.23325,-0.83630,2,Small is Beautiful,0.57887
1576,0.36360,-0.28109,-0.45927,2,Small is Beautiful,0.58494
1580,-0.01196,0.00707,-0.24649,2,Small is Beautiful,0.67153
1582,0.87585,-0.14614,-1.10423,2,Small is Beautiful,0.90593
1583,-1.67341,0.88880,-1.44817,2,Small is Beautiful,2.04627
1584,0.67673,-0.38101,-0.74181,2,Small is Beautiful,0.73365
1586,-0.08576,-0.25015,-0.88756,2,Small is Beautiful,0.12001
1592,0.49868,-0.06789,-0.91959,2,Small is Beautiful,0.51357
1596,-0.62645,-0.68169,-1.11929,2,Small is Beautiful,0.84011
1600,0.29741,-0.38965,-0.07192,2,Small is Beautiful,0.90792
1601,0.94118,-0.62575,-0.91872,2,Small is Beautiful,1.05512
1613,-0.06459,-1.04429,-1.60061,2,Small is Beautiful,1.13100
1620,-0.93705,-0.06005,-0.41176,2,Small is Beautiful,1.05471
1621,-0.03265,-0.24355,-0.66629,2,Small is Beautiful,0.24610
1625,-0.97232,-0.08051,-1.46286,2,Small is Beautiful,1.12303
1659,0.21760,0.01747,-0.39580,2,Small is Beautiful,0.57673
1662,0.82926,0.07689,-0.41965,2,Small is Beautiful,0.99071
1665,-0.00730,0.21537,-1.02489,2,Small is Beautiful,0.39770
1667,-0.50320,-0.31780,-0.60807,2,Small is Beautiful,0.59597
1668,0.45175,-0.81611,-0.83420,2,Small is Beautiful,0.80148
1670,-0.65478,0.74080,-1.81365,2,Small is Beautiful,1.44065
1672,-1.03426,0.18464,-0.43171,2,Small is Beautiful,1.18037
1673,-1.25704,-0.49499,-1.44815,2,Small is Beautiful,1.40755
1676,0.35331,-0.96175,-0.89061,2,Small is Beautiful,0.87757
1677,-1.24534,-1.01567,-1.15009,2,Small is Beautiful,1.52674
1679,-1.62414,-0.73673,-1.78968,2,Small is Beautiful,1.93594
1680,-0.76189,-0.85500,-0.88988,2,Small is Beautiful,1.02625
1681,-0.22850,-0.40167,-0.32414,2,Small is Beautiful,0.65968
1683,-1.37437,0.09304,-1.54417,2,Small is Beautiful,1.53518
1686,0.83220,-0.39473,-0.13348,2,Small is Beautiful,1.15727
1688,-0.30032,-0.43768,-1.39408,2,Small is Beautiful,0.64087
1690,0.73639,-0.47408,-0.99244,2,Small is Beautiful,0.81122
1691,1.22936,0.01679,-0.99209,2,Small is Beautiful,1.25159
1695,0.13414,-0.58343,-1.18202,2,Small is Beautiful,0.52863
1715,-0.68110,0.58157,-0.83471,2,Small is Beautiful,1.00564
1718,-0.50182,-0.76025,-0.40733,2,Small is Beautiful,0.91891
1720,0.37686,-0.26356,-1.01541,2,Small is Beautiful,0.41362
1724,0.68098,0.19336,-0.54120,2,Small is Beautiful,0.85068
1725,0.31398,-0.75724,0.00294,2,Small is Beautiful,1.12556
1729,-0.81597,0.34527,-0.65448,2,Small is Beautiful,0.98555
1730,-0.20898,-1.82645,-1.05688,2,Small is Beautiful,1.68536
1731,-0.09042,0.48013,-1.58988,2,Small is Beautiful,0.94812
1732,0.17222,-0.03784,-0.67846,2,Small is Beautiful,0.30737
1746,0.31857,0.22988,0.00899,2,Small is Beautiful,1.03835
1750,1.39663,-0.61286,-0.52964,2,Small is Beautiful,1.51846
1753,0.51109,-0.82561,-1.03789,2,Small is Beautiful,0.85370
1762,0.72738,-0.08993,-0.70332,2,Small is Beautiful,0.76160
1785,0.21648,-1.31024,-1.11924,2,Small is Beautiful,1.19146
1786,-0.01644,0.42559,-0.01004,2,Small is Beautiful,1.06315
1787,0.16639,-0.47450,-0.43170,2,Small is Beautiful,0.58655
1788,0.17847,-0.61191,-1.07407,2,Small is Beautiful,0.51838
1795,0.28465,-0.38828,-0.40521,2,Small is Beautiful,0.61440
1796,0.21576,-0.34249,-1.16592,2,Small is Beautiful,0.39313
1798,0.52390,0.07691,-1.20470,2,Small is Beautiful,0.65741
1803,-1.05455,0.47955,-0.92668,2,Small is Beautiful,1.22926
1804,-0.79845,0.40597,-0.42397,2,Small is Beautiful,1.08312
1805,0.12326,0.21955,-0.64245,2,Small is Beautiful,0.47553
1806,-0.13077,-0.17902,-1.02389,2,Small is Beautiful,0.17925
1807,0.98416,-0.24255,-0.82772,2,Small is Beautiful,0.99574
1809,0.92907,-0.07286,-1.11771,2,Small is Beautiful,0.96474
1814,0.15886,0.01399,-0.08147,2,Small is Beautiful,0.84984
1819,0.77047,-0.40263,-0.89483,2,Small is Beautiful,0.81303
1824,-0.69130,-2.46239,-1.87583,2,Small is Beautiful,2.59322
1826,0.99183,0.25664,-1.14362,2,Small is Beautiful,1.10943
1827,0.08586,-0.40421,-1.10023,2,Small is Beautiful,0.33013
1829,-0.01956,-0.07937,-1.61636,2,Small is Beautiful,0.72451
1830,-0.56608,-0.75373,-0.85058,2,Small is Beautiful,0.81684
1832,-1.16878,-0.56866,-0.76954,2,Small is Beautiful,1.23882
1834,0.65030,0.15712,-1.08438,2,Small is Beautiful,0.75302
1836,0.96260,-0.46840,-1.12396,2,Small is Beautiful,1.04116
1838,-0.03308,-0.19212,0.11674,2,Small is Beautiful,1.01418
1839,-0.05761,0.74621,-0.96299,2,Small is Beautiful,0.91118
1841,-0.24380,-1.38978,-0.56380,2,Small is Beautiful,1.29504
1842,-0.76513,0.33021,-0.54236,2,Small is Beautiful,0.97127
1844,-0.40760,-0.89169,-0.64490,2,Small is Beautiful,0.87096
1847,0.75758,-0.61446,-0.59153,2,Small is Beautiful,0.93885
1852,0.99905,-0.26189,-1.48994,2,Small is Beautiful,1.17133
1853,0.80778,-0.53592,-0.53824,2,Small is Beautiful,0.96485
1864,0.87989,-0.00223,-0.83360,2,Small is Beautiful,0.90207
1868,-0.24690,1.27727,-1.82965,2,Small is Beautiful,1.73133
1869,-0.34975,-0.82154,-0.98470,2,Small is Beautiful,0.74984
1872,0.76553,0.40663,-1.15973,2,Small is Beautiful,0.99325
1873,0.40817,-1.14675,-0.58293,2,Small is Beautiful,1.11416
1874,-0.28012,-0.08378,-0.79504,2,Small is Beautiful,0.30251
1875,0.51157,0.01943,-0.51612,2,Small is Beautiful,0.66713
1879,0.54769,-0.03205,-0.58775,2,Small is Beautiful,0.64687
1880,-0.48048,-0.22715,-1.04272,2,Small is Beautiful,0.50099
1886,0.04047,-0.30720,-0.61932,2,Small is Beautiful,0.31684
1887,1.40645,-0.50260,-3.18326,2,Small is Beautiful,2.70925
1891,0.40058,-0.53754,-0.95937,2,Small is Beautiful,0.55754
1893,-0.58950,0.65570,-0.49716,2,Small is Beautiful,1.08042
1894,0.18334,-0.14840,-0.77529,2,Small is Beautiful,0.22510
1897,-0.20147,0.26930,0.01039,2,Small is Beautiful,1.02280
1900,0.95717,0.54710,-1.19004,2,Small is Beautiful,1.23085
1904,0.15373,0.00048,-1.11878,2,Small is Beautiful,0.31768
1908,-0.52451,-0.13142,-0.53549,2,Small is Beautiful,0.63270
1924,0.05052,0.23700,-0.16390,2,Small is Beautiful,0.83576
1933,-0.24537,0.49283,-0.76696,2,Small is Beautiful,0.70835
1936,-0.02877,0.51876,-0.88715,2,Small is Beautiful,0.68028
1940,0.15831,0.77334,-1.09954,2,Small is Beautiful,0.97018
1942,-0.85015,0.05363,-0.42103,2,Small is Beautiful,0.99254
1945,0.42612,-0.49077,-1.31289,2,Small is Beautiful,0.68453
1974,-0.25297,0.21301,-0.08168,2,Small is Beautiful,0.93012
1978,-0.31992,-0.69545,-0.49203,2,Small is Beautiful,0.74019
2012,-1.08293,0.30950,-1.47942,2,Small is Beautiful,1.31195
2014,0.20602,0.26500,-0.24824,2,Small is Beautiful,0.80424
2021,-0.29489,-0.53929,-0.16155,2,Small is Beautiful,0.87573
2024,-0.00415,-0.01326,0.25593,2,Small is Beautiful,1.16198
2026,1.60688,-0.23640,-2.12283,2,Small is Beautiful,2.02736
2030,0.12089,0.03919,-1.12220,2,Small is Beautiful,0.32720
2031,0.08935,-0.29104,-0.01749,2,Small is Beautiful,0.89376
2038,-0.28405,0.43358,-0.11707,2,Small is Beautiful,1.01916
2039,0.02338,0.62722,-0.69801,2,Small is Beautiful,0.81345
2043,0.00145,0.04290,-0.75675,2,Small is Beautiful,0.24742
2046,0.13864,-0.89806,-0.69558,2,Small is Beautiful,0.77746
2049,0.28089,0.29030,-1.35699,2,Small is Beautiful,0.70562
2050,-0.46469,0.85307,-1.46868,2,Small is Beautiful,1.25152
2051,-0.30380,-0.65275,-1.46889,2,Small is Beautiful,0.81120
2052,-0.51069,-0.28236,-0.59247,2,Small is Beautiful,0.60173
2053,0.41092,-0.72079,-0.52825,2,Small is Beautiful,0.78909
2054,0.14658,-0.35194,-0.94413,2,Small is Beautiful,0.24885
2057,-0.36964,-0.13116,-0.92095,2,Small is Beautiful,0.36583
2058,0.28193,0.41793,-1.19721,2,Small is Beautiful,0.71303
2065,-0.12796,1.14289,-0.76294,2,Small is Beautiful,1.31647
2067,-0.71420,0.97521,-1.36892,2,Small is Beautiful,1.41985
2068,-0.62917,-0.87043,-0.83307,2,Small is Beautiful,0.94645
2071,0.18689,0.12822,-0.84506,2,Small is Beautiful,0.35142
2072,-1.19171,-0.08600,-1.16955,2,Small is Beautiful,1.21918
2073,1.07701,0.65115,-2.25891,2,Small is Beautiful,1.92045
2078,-0.52166,0.76602,-1.49956,2,Small is Beautiful,1.22030
2080,0.12367,-1.16949,-1.04244,2,Small is Beautiful,1.02711
2084,-1.01941,-1.09468,-1.55653,2,Small is Beautiful,1.52789
2085,0.97201,-0.05140,-1.81514,2,Small is Beautiful,1.34608
2087,0.63177,-0.21617,-0.51699,2,Small is Beautiful,0.74411
2088,0.60675,-0.21157,-0.55988,2,Small is Beautiful,0.70087
2090,-0.28089,-0.73683,-0.91666,2,Small is Beautiful,0.63840
2092,-0.57937,-0.58883,-1.16526,2,Small is Beautiful,0.76425
2093,0.75147,0.00191,-1.06814,2,Small is Beautiful,0.79342
2095,-0.09044,0.43160,-0.68963,2,Small is Beautiful,0.63344
2096,0.04037,-0.24722,-0.87400,2,Small is Beautiful,0.10034
2097,0.50570,-0.23914,-0.30860,2,Small is Beautiful,0.78328
2099,-0.06803,0.31599,-0.40745,2,Small is Beautiful,0.68610
2101,-0.83250,-0.99458,-1.91104,2,Small is Beautiful,1.55150
2104,0.46956,-0.15882,-2.02050,2,Small is Beautiful,1.22031
2105,-0.13132,0.27558,-0.06214,2,Small is Beautiful,0.95013
2108,0.30285,0.48755,-0.47793,2,Small is Beautiful,0.83144
2110,0.58875,-0.81863,-1.18741,2,Small is Beautiful,0.93300
