ID,Place (x),Knowledge (y),Action (z),K5Number,K5Name,K5Distance
812,-0.04014,0.77371,0.35753,5,Ecoscience,0.81550
817,0.21020,0.68414,0.52779,5,Ecoscience,1.05226
818,-1.69088,2.17758,1.17582,5,Ecoscience,1.61197
819,-1.04906,1.95077,-0.33699,5,Ecoscience,1.35763
822,-0.29885,1.25788,0.50410,5,Ecoscience,0.57875
827,-1.51853,0.54066,-0.59398,5,Ecoscience,1.43979
836,-1.04357,1.51324,-0.00753,5,Ecoscience,0.82882
842,-0.43879,0.94572,-0.46286,5,Ecoscience,1.09909
879,-1.08841,1.90004,-1.48414,5,Ecoscience,2.27510
885,-1.26263,1.41686,-0.31280,5,Ecoscience,1.09380
896,-0.54333,0.85272,0.85930,5,Ecoscience,0.40231
911,-0.97300,1.54170,0.61126,5,Ecoscience,0.59243
914,-0.24829,0.84483,0.91482,5,Ecoscience,0.66089
921,-0.30228,1.24799,0.70070,5,Ecoscience,0.58042
923,-0.51204,0.67206,0.38451,5,Ecoscience,0.45992
929,-0.19708,0.61732,-0.04264,5,Ecoscience,0.93447
947,0.01500,0.63608,1.93516,5,Ecoscience,1.62163
992,-0.50645,1.58967,-0.90368,5,Ecoscience,1.62730
1029,-0.94585,0.70726,0.76592,5,Ecoscience,0.36102
1054,-1.09265,1.28914,0.80997,5,Ecoscience,0.48886
1058,-1.11828,0.18175,-0.33807,5,Ecoscience,1.25160
1060,-0.88810,0.64805,0.08939,5,Ecoscience,0.59274
1070,-0.00138,0.28314,0.96697,5,Ecoscience,1.12758
1077,0.09783,1.57075,0.33065,5,Ecoscience,1.10373
1112,0.09491,0.77556,0.63115,5,Ecoscience,0.91847
1125,-1.09041,1.38634,-0.18325,5,Ecoscience,0.90962
1135,-0.19784,0.15176,0.15703,5,Ecoscience,1.10303
1153,0.17735,3.35198,1.40311,5,Ecoscience,2.69884
1159,-2.07337,0.18612,0.76456,5,Ecoscience,1.51099
1160,-1.51209,0.59541,-0.48207,5,Ecoscience,1.33040
1161,-0.48771,0.08118,0.31068,5,Ecoscience,0.98410
1171,-0.51181,2.76322,-0.03850,5,Ecoscience,1.91095
1183,-1.29671,1.96387,-0.23758,5,Ecoscience,1.37198
1192,-0.04225,1.07343,-0.08260,5,Ecoscience,1.00757
1195,-0.33804,0.30820,0.79217,5,Ecoscience,0.84066
1210,-0.54711,0.48412,1.10452,5,Ecoscience,0.76589
1213,-2.04865,0.51393,0.09946,5,Ecoscience,1.41425
1215,-0.88315,0.46280,0.78097,5,Ecoscience,0.55968
1217,-0.89217,1.44108,-0.12381,5,Ecoscience,0.84419
1220,-0.34604,1.37884,0.69465,5,Ecoscience,0.61805
1225,-1.20828,0.65173,1.04506,5,Ecoscience,0.70252
1226,0.00237,0.95702,1.07951,5,Ecoscience,0.94770
1230,-1.67709,0.76070,-0.35792,5,Ecoscience,1.29873
1231,-0.83893,0.29905,0.15548,5,Ecoscience,0.79765
1232,-0.57622,0.86789,0.11729,5,Ecoscience,0.52061
1233,-0.28646,0.45744,2.19576,5,Ecoscience,1.77760
1236,-1.13876,1.07618,0.90176,5,Ecoscience,0.48153
1251,-0.15982,0.80948,0.33471,5,Ecoscience,0.70342
1269,-0.45669,1.37165,-0.41824,5,Ecoscience,1.12252
1278,-2.04144,2.23815,-0.17462,5,Ecoscience,1.92251
1302,-0.80900,0.48750,-0.11075,5,Ecoscience,0.84213
1305,-0.82898,0.48694,0.58939,5,Ecoscience,0.49056
1326,-0.07789,0.71503,1.56292,5,Ecoscience,1.25114
1339,-1.66523,0.47169,0.04177,5,Ecoscience,1.13504
1341,-2.09028,0.41921,1.69882,5,Ecoscience,1.79991
1343,-0.89778,0.17572,0.65024,5,Ecoscience,0.81019
1346,-0.17639,1.25534,0.05396,5,Ecoscience,0.85878
1349,-1.60203,0.20200,-0.22440,5,Ecoscience,1.37203
1354,0.78866,1.88247,2.42310,5,Ecoscience,2.59987
1362,-0.45522,2.52925,-0.08878,5,Ecoscience,1.72347
1373,-0.09307,2.94252,1.84844,5,Ecoscience,2.44678
1376,-0.18596,2.43754,0.95489,5,Ecoscience,1.62968
1380,-1.10875,0.30557,1.34318,5,Ecoscience,1.06579
1383,-0.54478,0.36209,0.24691,5,Ecoscience,0.74152
1385,-0.88642,1.71804,0.38510,5,Ecoscience,0.77045
1386,-1.72247,1.41875,0.60710,5,Ecoscience,1.02395
1395,-0.39196,1.68471,0.46721,5,Ecoscience,0.82428
1396,-2.03991,0.87412,-0.36887,5,Ecoscience,1.56191
1397,-0.93672,0.54791,-0.16950,5,Ecoscience,0.86977
1398,0.08384,0.30644,0.27473,5,Ecoscience,1.14861
1401,-1.91421,0.88500,0.05511,5,Ecoscience,1.23327
1404,-0.24545,0.50814,1.07402,5,Ecoscience,0.88059
1416,-0.29146,1.22473,-0.48927,5,Ecoscience,1.20509
1425,-0.28037,0.03482,0.67649,5,Ecoscience,1.08003
1442,-0.52260,1.64712,-0.59891,5,Ecoscience,1.37998
1443,-0.98167,1.74353,2.03702,5,Ecoscience,1.66118
1457,0.13745,1.50926,1.40950,5,Ecoscience,1.36328
1468,0.39149,1.25366,1.25240,5,Ecoscience,1.39805
1493,-1.14471,0.74103,0.31837,5,Ecoscience,0.49022
1496,-1.23244,1.28791,1.47173,5,Ecoscience,1.04345
1498,-0.62793,0.59803,0.14180,5,Ecoscience,0.60013
1508,0.21642,0.68283,0.95679,5,Ecoscience,1.12439
1510,-2.31180,1.28189,0.13266,5,Ecoscience,1.60491
1515,-0.84115,1.56571,0.62528,5,Ecoscience,0.59292
1518,-1.19799,1.44600,1.55489,5,Ecoscience,1.15746
1520,-0.50984,1.22566,0.87652,5,Ecoscience,0.48689
1536,-1.78252,0.88129,-0.42424,5,Ecoscience,1.40481
1567,-0.46649,1.19896,0.18952,5,Ecoscience,0.55584
1568,-1.01310,1.48452,0.51286,5,Ecoscience,0.55465
1570,-0.65517,0.68209,0.59906,5,Ecoscience,0.32871
1575,-0.93950,1.06007,0.11902,5,Ecoscience,0.48414
1577,-0.90735,1.36846,-0.17769,5,Ecoscience,0.85538
1581,-1.31784,0.97577,-0.27611,5,Ecoscience,0.99638
1587,0.25289,2.13376,1.13659,5,Ecoscience,1.66212
1593,-1.45004,1.41474,0.22861,5,Ecoscience,0.85742
1598,0.17114,2.44396,0.93349,5,Ecoscience,1.79572
1602,-0.59775,2.06831,0.15971,5,Ecoscience,1.18548
1603,-0.90114,1.02159,-0.05867,5,Ecoscience,0.64322
1607,0.17079,1.25828,0.79723,5,Ecoscience,1.03464
1689,-0.26759,1.83438,-0.36805,5,Ecoscience,1.38139
1723,-1.85793,1.90019,-0.05315,5,Ecoscience,1.53882
1739,-0.67315,1.90453,1.46590,5,Ecoscience,1.29280
1741,-0.62915,0.62809,1.35181,5,Ecoscience,0.86833
1747,-1.10589,1.99939,0.54175,5,Ecoscience,1.06839
1748,0.04941,1.24424,1.68011,5,Ecoscience,1.41917
1749,-1.89993,1.40787,-0.90916,5,Ecoscience,1.89719
1756,-1.15895,0.84126,-0.31357,5,Ecoscience,0.96786
1775,-1.64063,1.10997,0.41690,5,Ecoscience,0.86614
1790,-0.89859,2.81148,0.51146,5,Ecoscience,1.83885
1793,-0.58397,2.32162,-0.97263,5,Ecoscience,2.06176
1800,-0.88362,0.33814,-0.12923,5,Ecoscience,0.95404
1801,-2.08450,0.60371,0.99982,5,Ecoscience,1.40376
1802,-0.85866,1.17631,2.06234,5,Ecoscience,1.50200
1810,-0.65604,0.95457,0.93971,5,Ecoscience,0.39266
1811,0.30164,1.33570,0.93969,5,Ecoscience,1.21442
1812,-0.27283,0.38963,0.37577,5,Ecoscience,0.81325
