ID,Place (x),Knowledge (y),Action (z),K5Number,K5Name,K5Distance
816,0.99845,-0.76563,0.51085,4,Indigenous Justice,0.46876
826,1.41627,0.14170,1.06186,4,Indigenous Justice,0.98635
837,0.55924,-0.24950,0.89314,4,Indigenous Justice,0.64373
861,1.23257,-1.57432,-0.63816,4,Indigenous Justice,1.83930
862,1.14994,-2.07646,0.56132,4,Indigenous Justice,1.41541
864,1.62914,-0.94889,2.13607,4,Indigenous Justice,1.34815
870,0.51491,-0.96337,0.38649,4,Indigenous Justice,0.78201
940,0.11922,-0.55444,1.45638,4,Indigenous Justice,0.99519
974,1.50825,0.13581,1.00174,4,Indigenous Justice,1.02281
975,2.85578,-0.82460,0.01191,4,Indigenous Justice,2.11812
1002,1.77807,-0.35180,1.28204,4,Indigenous Justice,0.94230
1017,0.35696,-0.11247,0.45823,4,Indigenous Justice,1.01858
1035,-0.15966,-0.09305,1.32232,4,Indigenous Justice,1.34680
1085,0.71812,-1.40617,0.15045,4,Indigenous Justice,1.09526
1168,0.08725,-0.65608,0.80064,4,Indigenous Justice,0.90670
1170,-0.13478,-1.43779,1.52331,4,Indigenous Justice,1.42048
1190,0.23033,-0.03703,0.50390,4,Indigenous Justice,1.12420
1206,0.88348,-0.12299,1.00370,4,Indigenous Justice,0.61943
1208,2.41741,-1.50956,0.99341,4,Indigenous Justice,1.63897
1209,0.30938,-0.43971,1.78785,4,Indigenous Justice,1.08795
1212,0.81133,-0.36896,1.09690,4,Indigenous Justice,0.41776
1214,0.50915,-1.28284,0.57920,4,Indigenous Justice,0.82083
1218,0.66741,-0.19235,1.68289,4,Indigenous Justice,0.94083
1228,1.35419,-0.87868,1.08855,4,Indigenous Justice,0.42208
1241,0.89071,-0.62028,0.51199,4,Indigenous Justice,0.48694
1271,1.93173,-1.64107,-0.78250,4,Indigenous Justice,2.19972
1288,1.83541,-1.70441,0.28878,4,Indigenous Justice,1.46897
1291,1.26099,-0.06065,0.08960,4,Indigenous Justice,1.15213
1292,1.70338,-3.60327,0.48993,4,Indigenous Justice,2.99942
1322,0.65420,-1.21176,0.14116,4,Indigenous Justice,1.01424
1323,1.43442,-1.75865,1.46101,4,Indigenous Justice,1.22206
1332,0.67907,0.63489,1.44530,4,Indigenous Justice,1.47730
1337,1.20410,-1.50304,1.30921,4,Indigenous Justice,0.86746
1338,0.32488,-1.20032,1.28680,4,Indigenous Justice,0.85527
1344,1.46944,-0.16488,0.70927,4,Indigenous Justice,0.80263
1350,1.43531,0.00502,0.34258,4,Indigenous Justice,1.07968
1358,2.02491,0.41683,1.38906,4,Indigenous Justice,1.61349
1365,1.78826,-0.34595,1.58010,4,Indigenous Justice,1.08585
