ID,Place (x),Knowledge (y),Action (z),K5Number,K5Name,K5Distance
814,1.63973,1.27108,0.14658,3,Science for Humanity,0.65320
815,1.41952,0.59193,-0.07017,3,Science for Humanity,0.61645
820,1.28566,3.04090,-1.13956,3,Science for Humanity,2.25900
833,0.47970,0.63463,0.69715,3,Science for Humanity,1.03256
848,1.22756,0.22749,0.42154,3,Science for Humanity,0.98854
872,0.80394,2.35494,-1.89577,3,Science for Humanity,2.26132
897,1.14621,1.28669,-0.03676,3,Science for Humanity,0.23001
903,0.00634,1.54420,-1.23224,3,Science for Humanity,1.64509
918,1.10012,0.67387,-1.01214,3,Science for Humanity,1.05213
925,0.88434,1.38572,0.73712,3,Science for Humanity,0.85321
926,0.84481,1.37151,0.31104,3,Science for Humanity,0.50018
941,1.27405,0.37164,-0.17357,3,Science for Humanity,0.75636
954,0.63615,1.09975,-1.51792,3,Science for Humanity,1.53019
957,0.70968,0.24802,0.50588,3,Science for Humanity,1.05204
970,0.61292,2.25845,0.47603,3,Science for Humanity,1.35782
972,0.41361,1.61883,1.02071,3,Science for Humanity,1.34912
976,0.66049,0.90190,0.26252,3,Science for Humanity,0.52243
995,2.10914,0.48549,-1.31956,3,Science for Humanity,1.76525
1011,1.01750,0.86308,-0.59248,3,Science for Humanity,0.59122
1038,0.47749,0.37208,-0.17596,3,Science for Humanity,0.91704
1039,3.31947,1.88983,-0.02045,3,Science for Humanity,2.41473
1057,0.58006,0.61097,0.04252,3,Science for Humanity,0.66600
1061,1.19852,0.19189,0.27800,3,Science for Humanity,0.95738
1069,1.40485,-0.14992,-0.51151,3,Science for Humanity,1.36488
1081,0.80870,0.35834,-0.15608,3,Science for Humanity,0.76799
1083,0.29240,1.38897,-0.34427,3,Science for Humanity,0.86684
1087,1.78515,2.21516,1.11026,3,Science for Humanity,1.77957
1094,0.43899,0.97702,-0.48486,3,Science for Humanity,0.75651
1102,0.53431,2.13910,-0.74454,3,Science for Humanity,1.36845
1122,0.45459,1.23028,0.40754,3,Science for Humanity,0.75749
1123,1.07239,0.55837,-0.53582,3,Science for Humanity,0.71826
1131,0.17789,1.68141,-0.84496,3,Science for Humanity,1.32467
1133,1.04564,0.41599,-0.66652,3,Science for Humanity,0.91097
1136,0.14794,0.63774,-0.00048,3,Science for Humanity,1.00087
1152,0.33334,2.87145,0.43974,3,Science for Humanity,1.98664
1173,0.31662,1.85881,-0.49502,3,Science for Humanity,1.15743
1184,0.77923,2.32276,-0.07246,3,Science for Humanity,1.27063
1185,0.60571,0.10987,0.27016,3,Science for Humanity,1.11038
1193,1.51296,2.63364,-0.17014,3,Science for Humanity,1.62721
